sample,model,n_parameters,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
1,1,570474,1208,12.635,4.4748,23.517,18.567,11.3,2.4135,0.005386,17.429428,4.976144,266.93321129878365
1,1,570474,1208,14.623,1.988,48.367,24.85,13.4,2.7792,0.0,20.413921,2.9844952,266.93321129878365
1,1,570474,1208,16.821,2.198,74.85,26.483,13.2,1.8284,0.0,27.384365,6.970442,266.93321129878365
1,1,570474,1208,23.914,7.093,165.78,90.93,12.9,3.8032,0.00021994,29.376783,1.9924192,266.93321129878365
1,1,570474,1209,3.376,3.376,1.0,1.0,16.0,3.4375,0.0,3.1384687,3.1384687,266.93321129878365
1,1,570474,1209,9.1114,5.7354,4.95,3.95,16.3,3.73,0.0,12.453283,9.314815,266.93321129878365
1,1,570474,1209,18.061,8.9496,23.517,18.567,11.3,2.4135,0.005386,17.429428,4.976144,266.93321129878365
1,1,570474,1209,22.782,4.721,48.367,24.85,13.4,2.7792,0.0,20.413921,2.9844952,266.93321129878365
1,1,570474,1209,25.113,2.331,74.85,26.483,13.2,1.8284,0.0,27.384365,6.970442,266.93321129878365
1,1,570474,1209,30.932,5.819,165.78,90.93,12.9,3.8032,0.00021994,29.376783,1.9924192,266.93321129878365
1,1,570474,1211,3.0897,3.0897,1.0833,1.0833,16.3,3.5106,0.0,2.342071,2.342071,266.93321129878365
1,1,570474,1211,8.1857,5.096,5.0833,4.0,16.1,3.8032,0.0,9.229429,6.8873577,266.93321129878365
1,1,570474,1211,12.319,4.1333,22.9,17.8167,11.0,2.3404,0.0056127,11.748411,2.518982,266.93321129878365
1,1,570474,1211,14.378,2.059,47.7,24.8,13.4,2.7792,0.0,13.731737,1.9833267,266.93321129878365
1,1,570474,1211,15.33,0.952,74.167,26.467,13.2,1.8284,0.0,20.646183,6.9144444,266.93321129878365
1,1,570474,1211,17.783,2.453,165.02,90.853,12.9,3.8032,0.00022014,23.220402,2.5742202,266.93321129878365
1,1,570474,1239,2.7993,2.7993,1.05,1.05,15.4,1.9747,0.0,2.2608674,2.2608674,266.93321129878365
1,1,570474,1239,4.9833,2.184,3.05,2.0,15.3,1.9747,0.0,4.4924088,2.2315414,266.93321129878365
1,1,570474,1239,6.7332,1.7499,7.7667,4.7167,12.1,0.95079,0.0,6.5450115,2.0526025,266.93321129878365
1,1,570474,1239,8.1685,1.4353,23.2,15.4333,10.2,1.5359,0.0019438,7.7067184,1.1617072,266.93321129878365
1,1,570474,1239,9.6749,1.5064,44.417,21.217,11.3,2.4135,0.00094266,9.042519,1.3358006,266.93321129878365
1,1,570474,1239,10.863,1.1881,70.25,25.833,9.5,2.9987,0.003871,9.96027,0.9177504,266.93321129878365
1,1,570474,1239,11.817,0.954000000000001,138.37,68.12,9.3,2.8524,0.0014681,10.740715,0.7804454,266.93321129878365
1,1,570474,1243,0.738,0.738,1.0,1.0,8.8,2.4454,0.0,1.1209815,1.1209815,266.93321129878365
