"","e.cum","e.rel","pmid","meas.tech","country","inst","ct","tan.app","app.rate","man.dm","man.ph","man.source","t.incorp","air_temp_1","air_temp_2","air_temp_3","air_temp_4","air_temp_5","air_temp_6","wind.2m_1","wind.2m_2","wind.2m_3","wind.2m_4","wind.2m_5","wind.2m_6","rain.rate_1","rain.rate_2","rain.rate_3","rain.rate_4","rain.rate_5","rain.rate_6","app.mthd_bc","app.mthd_bsth","app.mthd_ts","app.mthd_os","incorp_none","incorp_shallow"
"383",55.325,0.330436600370304,2551,"IHF","NL",214,97,167.43,29.169,9.9,7.5,0,1000,11.7441666666667,13.6983333333333,13.5820689655172,11.6675862068966,9.75310344827586,8.70745258350278,3.23490416666667,2.85868333333333,2.75138620689655,2.41268275862069,2.07397931034483,2.7442020583355,0,0,0,0,0,0,0,0,1,0,1,0
"384",46.917,0.285800438596491,2552,"IHF","NL",214,96.633,164.16,28.55,9.8,7.6,0,1000,11.92875,13.7925,13.4824862685114,11.5691163178753,9.6557463672391,8.69762929671784,3.238275,2.850525,2.76754308558715,2.43192464715289,2.09630620871863,2.71363700065555,0,0,0,0,0,0,0,0,1,0,1,0
"385",28.397,0.171107495782116,2553,"IHF","NL",214,95.933,165.96,28.663,10,7.4,0,1000,12.2964787124591,13.8396690073517,13.2457142857143,11.3409523809524,9.43619047619048,8.64190414359367,3.2077848994773,2.78441875927208,2.76687820215235,2.43268674122529,2.09849528029823,2.71666498919843,0,0,0,0,0,0,0,0,0,1,1,0
"386",19.937,0.121050394656952,2554,"IHF","NL",214,95,164.7,28.396,10,7.4,0,1000,12.7033130883556,14.0086747023684,12.7504546426281,10.8919781942564,9.0335017458847,8.62425801751403,3.1273426391299,2.74801630701585,2.67967790208794,2.37627877146726,2.07287964084658,2.73524956298861,0,0,0,0,0,0,0,0,0,1,1,0
"387",21.701,0.154334684588578,2555,"IHF","NL",214,97.6,140.61,28.292,9.13,7.8,0,1000,15.0590226347998,18.9382039169371,19.9943574427729,18.9061379310345,17.6813103448276,16.3058427564466,2.88255386724141,3.00709599711734,2.13792320751537,1.97471448275862,1.8733075862069,2.9412696028474,0,0,0,0,0,0,0,0,0,1,1,0
"388",35.599,0.253716770009265,2556,"IHF","NL",214,97.117,140.31,28.519,8.78,7.8,0,1000,15.4854295093307,19.2085100102451,19.9686529593417,18.840199797934,17.6113084805872,16.2893086072056,2.88633776954037,2.94406572829898,1.95730736043295,1.85513953689767,1.81423147693767,2.95200594566572,0,0,0,0,0,0,0,0,1,0,1,0
"389",11.065,0.0757461664841183,2557,"IHF","NL",214,96.4,146.08,28.926,9.04,7.7,0,1000,16.1414962608131,19.5295728246622,19.8481750246669,18.7103841031752,17.4851790846008,16.2829424690149,2.95825495017325,2.90553290507449,1.78201819997017,1.72811840611201,1.75553832620733,2.95307663464954,0,0,0,0,0,0,0,0,0,1,1,0
"390",30.508,0.226757841534116,2558,"IHF","NL",214,96.283,134.54,26.536,8.55,7.6,0,1000,16.4718706798246,19.5769383168672,19.683381405752,18.5889372712979,17.4185467415905,16.2434034343689,2.97995793011697,2.88467720486483,1.73184005456855,1.69150156804129,1.74683424802408,2.97191518240965,0,0,0,0,0,0,0,0,1,0,1,0
"391",11.693,0.144432915832901,2567,"IHF","NL",214,97.233,80.958,24.705,3.5,7.7,0,0,13.2764278698626,17.8621804339505,17.8096864036658,15.6589024128302,13.5081184219947,11.53609044652,2.04899563558654,2.49045988432664,2.43062483711606,1.89393692990621,1.35724902269636,1.61788454774842,0,0,0,0,0,0,1,0,0,0,0,1
"392",26.48,0.320193470374849,2568,"IHF","NL",214,96.6,82.7,25.237,3.5,7.7,0,0,14.6612320014282,18.2309269935977,17.4409457909957,15.2572971939971,13.0736485969986,11.4809298415963,2.1815874906169,2.48814158050993,2.4070835660972,1.83491571073146,1.26274785536573,1.58808424712696,0,0,0,0,0,0,1,0,0,0,0,1
